ID_indicateurs,Libellé_indicateurs,Type_Sources,Question à choix unique,Unités_indicateurs,Valeur_min_controle,Valeur_max_controle,Type de bornage,Coef K,Valeur-borne Score=0,Valeur-borne Score=100,Justif Score=0,Justif Score=100,Valeur médiane,Commentaire Valeur médiane,Valeur-intermédiaire Score=20,Valeur-intermédiaire Score=33,Valeur-intermédiaire Score=40,Valeur-intermédiaire Score=50,Valeur-intermédiaire Score=60,Valeur-intermédiaire Score=66,Valeur-intermédiaire Score=80
i099,Part des communes du territoire de plus de 5000 habitants disposant d’une programmation événementielle en lien avec la transition écologique et la résilience territoriale,Donnée interne,Non,%,0,100,Absolu,,0,100,,,,,,,,,,,
i100,Existence d’un dispositif d’éco-conditionnalité des aides aux acteurs et projets associatifs,Donnée interne,Oui,/,/,/,Absolu,,Non,"Oui, à jour et mis en oeuvre",,,,,Non mais en cours d'élaboration,"Oui, mais pas à jour et non mis en oeuvre","Oui, à jour mais pas ou peu mis en oeuvre ;",,"Oui, mis en oeuvre mais plus à jour",,"Oui, mis en oeuvre et en cours de révision"
i101,Identification d'un agent-référent sur les enjeux éducationnels et informationnels,Donnée interne,Oui,/,/,/,Absolu,,Non,Oui,,,,,en cours,"Oui, 1/4 ETP ou moins",,,,"Oui, 1/2 ETP",
i102,Identification d'un élu-référent sur les enjeux éducationnels et informationnels,Donnée interne,Oui,/,/,/,Absolu,,Non,Oui,,,,,en cours,,,,,,
i103,Identification d'un agent-référent sur les enjeux alimentaires,Donnée interne,Oui,/.,/,/,Absolu,,Non,Oui,,,-,,en cours,"Oui, 1/4 ETP ou moins",,,,"Oui, 1/2 ETP",
i104,Identification d'un élu-référent sur les enjeux alimentaires,Donnée interne,Oui,/,/,/,Absolu,,Non,Oui,,,,,en cours,,,,,,
i105,Existence d’un Projet Alimentaire Territorial à jour et mis en oeuvre,Donnée interne,Oui,/,/,/,Absolu,,Non,"Oui, à jour et mis en oeuvre",,,,,Non mais en cours d'élaboration,"Oui, mais pas à jour et non mis en oeuvre","Oui, à jour mais pas ou peu mis en oeuvre ;",,"Oui, mis en oeuvre mais plus à jour",,"Oui, mis en oeuvre et en cours de révision"
i106,Evolution de la Surface Agricole Utile entre 2010 et 2020,Donnée ouverte,Non,%,-1000,1000,Relatif,,-7,"5,7",Seuil haut du premier quantile,Seuil bas du dernier quantile,"-0,8","Moyenne France. 2024, Obs des Territoires.",,,,,,,
i107,Nombre de marchés alimentaires hebdomadaires pour 1000 habitants,Donnée interne,Non,/ 1 000 hab,0,1000,Mixte,,0,"0,32",Valeur borne absolue,2x la moyenne nationale,"0,16","Selon Conf paysanne, 11k marchés alimentaires, dont 9600 de plein vent et 8100 réguliers. Ils couvrent environ 6500 communes. 
Plus de 38 000 vendeurs, seuls 16% sont producteurs (dont artisans bouchers, boulangers...)
Selon INSEE, 76% des marché de plein vent se tiennent une fois par semaine",,,,,,,
i108,Accessibilité théorique aux commerces alimentaires à vélo,Donnée ouverte,Non,%,0,100,Absolu,,0,100,Pire valeur possible ,Cible absolue,,,,,,,,,
i109,Part de la restauration collective respectant les critères d'approvisionnement de la loi Egalim,Donnée interne,Non,%,0,100,Absolu,,0,100,Pire valeur possible,Bornage absolu. objectif de respect de la loi Egalim,,,,,,,,,
i110,Évolution des actifs agricoles entre 2008 et 2019,Donnée ouverte,Non,%,0,100,Mixte,,-20,65,Seuil haut de la 1e borne dans l'échelle de cotation du Shift Project,"Objectif de création de 500k emplois agricoles selon PTEF, soit +65% par rapport au nombre d'actifs agricoles actuels (760k).",,,,,,,,,
i111,Adéquation théorique entre la production agricole et la consommation du territoire,Donnée ouverte,Non,%,0,100,Absolu,,0,100,Méthodologie Territoires Fertiles,Méthodologie Territoires Fertiles,,,,,,,,,
i112,Part de la surface agricole en agriculture Biologique sur la surface agricole utile,Donnée ouverte,Non,%,0,100,Absolu,,0,100,"Méthodologie Territoires Fertiles. Moins bon score national : CC Cluses-Arve et Montagnes, 0%","Méthodologie Territoires Fertiles. En 2025, le meilleu score national : CC Diois, 72,3%","0,104",moyenne fr selon Agence bio en 2023,,,,,,,
i113,Part de la Surface Agricole Utile sur la superficie totale du territoire,Donnée ouverte,Non,%,0,100,Mixte,,0,85,,,"42,5","Moyenne France : SAU 26 879 662 ha / Superficie France 632 704 40 ha x100 = 42,5%",,,,,,,
i114,Quantité annuelle d'achats de substances actives rapporté à la SAU du territoire,Donnée ouverte,Non,kg / ha / an,0,/,Mixte,,3,0,valeur haute sur la carte par code postal : https://www.statistiques.developpement-durable.gouv.fr/etat-des-lieux-des-ventes-et-des-achats-de-produits-phytosanitaires-en-france-en-2021-0,"Objectif absolu, et valeur basse selon carto par code postal : https://www.statistiques.developpement-durable.gouv.fr/etat-des-lieux-des-ventes-et-des-achats-de-produits-phytosanitaires-en-france-en-2021-0",,,,,,,,,
i115,Score d'impact des pratiques agricoles sur la biodiversité,Donnée ouverte,Non,Note sur 30,0,30,Absolu,,11,18,"Méthodologie Territoires fertiles. En deça d'un score de 12, pratiques agricoles évaluées contribuant au déclin de la biodiversité.","Méthodologie Territoires Fertiles. Au-delà de 18, pratiques agricoles contribuant à préserver la biodiversité",,,,,,,,,
i116,Identification d'un agent-référent sur les enjeux de sauvegarde,Donnée interne,Oui,/,/,/,Absolu,,Non,Oui,,,-,,en cours,"Oui, 1/4 ETP ou moins",,,,"Oui, 1/2 ETP",
i117,Identification d'un élu-référent sur les enjeux de sauvegarde,Donnée interne,Oui,/,/,/,Absolu,,Non,Oui,,,,,en cours,,,,,,
i118,Part des communes couvertes par un PCS adopté depuis 2020,Donnée interne,Non,%,0,100,Absolu,,0,100,,,,,,,,,,,
i119,Nombre de risques majeurs auxquels sont exposées les communes du territoire,Donnée ouverte,Non,Nombre,0,13,Absolu,,13,0,nb max de risques majeurs auxquels une commune peut etre exposée,,,,,,,,,,
i120,Part des communes dotées d'une Réserve Citoyenne de Sécurité Civile (RCSC),Donnée interne,Non,%,0,100,Absolu,,0,100,,,,,,,,,,,
i121,Existence d'un recensement des sites et événements sensibles,Donnée interne,Oui,/,/,/,Absolu,,Non,"Oui, à jour ",,,,,Non mais en cours d'élaboration,"Oui, mais pas à jour",,,,"Oui, en cours de révision",
i122,"Identification dans un document-cadre (PiCS, note interne..) des associations agréées de sécurité civile avec lesquelles les communes du territoire ont des conventions",Donnée interne,Oui,/,/,/,Absolu,,Non,"Oui, pour toutes les communes",,,,,,Oui pour une minorité de communes,,Oui pour la moitié des communes,, Oui pour une majorité de communes,
